timestamp,price,qty
2025-05-23 15:46:09,110687.00,0.995
2025-05-23 15:46:11,110679.20,0.136
2025-05-23 15:46:13,110673.80,0.001
2025-05-23 15:46:15,110672.80,0.001
2025-05-23 15:46:18,110669.20,0.007
2025-05-23 15:46:20,110669.30,0.003
2025-05-23 15:46:22,110669.20,0.004
2025-05-23 15:46:24,110650.40,0.017
2025-05-23 15:46:27,110650.00,0.028
2025-05-23 15:46:29,110650.00,0.144
2025-05-23 15:46:31,110643.10,0.045
2025-05-23 15:46:33,110643.10,0.037
2025-05-23 15:46:35,110643.10,0.044
2025-05-23 15:46:38,110643.30,0.002
2025-05-23 15:46:40,110650.00,0.001
2025-05-23 15:46:42,110652.20,0.002
2025-05-23 15:46:44,110662.40,0.036
2025-05-23 15:46:47,110662.10,0.002
2025-05-23 15:46:49,110643.10,0.005
2025-05-23 15:46:51,110643.10,0.003
2025-05-23 15:46:53,110643.10,0.002
2025-05-23 15:46:56,110642.60,0.001
2025-05-23 15:46:58,110642.20,0.001
2025-05-23 15:47:00,110640.00,0.007
2025-05-23 15:47:02,110637.50,0.007
2025-05-23 15:47:05,110637.60,0.450
2025-05-23 15:47:07,110637.60,0.001
2025-05-23 15:47:09,110639.60,0.002
2025-05-23 15:47:11,110642.10,0.001
2025-05-23 15:47:14,110642.40,0.019
2025-05-23 15:47:16,110642.70,0.097
2025-05-23 15:47:18,110643.30,0.015
2025-05-23 15:47:20,110654.90,0.004
2025-05-23 15:47:23,110654.80,0.038
2025-05-23 15:47:25,110654.80,0.005
2025-05-23 15:47:27,110653.80,0.001
2025-05-23 15:47:29,110646.90,0.001
2025-05-23 15:47:31,110643.70,0.003
2025-05-23 15:47:34,110642.90,0.001
2025-05-23 15:47:36,110639.00,0.002
2025-05-23 15:47:38,110637.50,0.103
2025-05-23 15:47:40,110637.50,0.007
2025-05-23 15:47:43,110634.80,0.003
2025-05-23 15:47:45,110634.80,0.002
2025-05-23 15:47:47,110634.40,0.002
2025-05-23 15:47:49,110634.00,0.004
2025-05-23 15:47:52,110634.00,0.003
2025-05-23 15:47:54,110634.00,0.001
2025-05-23 15:47:56,110634.00,0.002
2025-05-23 15:47:58,110634.00,0.304
2025-05-23 15:48:01,110634.00,0.006
2025-05-23 15:48:03,110634.00,0.010
2025-05-23 15:48:05,110637.60,0.001
2025-05-23 15:48:07,110637.60,0.001
2025-05-23 15:48:10,110645.90,0.020
2025-05-23 15:48:12,110645.80,0.003
2025-05-23 15:48:14,110645.90,0.040
2025-05-23 15:48:16,110645.80,0.001
2025-05-23 15:48:18,110645.80,0.001
2025-05-23 15:48:21,110645.80,0.027
2025-05-23 15:48:23,110645.90,0.349
2025-05-23 15:48:25,110645.80,0.004
2025-05-23 15:48:27,110643.50,0.001
2025-05-23 15:48:30,110640.00,0.542
2025-05-23 15:48:32,110638.30,0.003
2025-05-23 15:48:34,110638.30,0.047
2025-05-23 15:48:36,110638.20,0.009
2025-05-23 15:48:39,110634.90,0.001
2025-05-23 15:48:41,110634.00,0.105
2025-05-23 15:48:43,110630.50,0.002
2025-05-23 15:48:45,110630.50,0.006
2025-05-23 15:48:48,110630.50,0.001
2025-05-23 15:48:50,110623.00,0.018
2025-05-23 15:48:52,110623.10,0.011
2025-05-23 15:48:54,110623.00,0.001
2025-05-23 15:48:57,110622.70,0.004
2025-05-23 15:48:59,110622.80,0.029
2025-05-23 15:49:01,110622.70,0.018
2025-05-23 15:49:03,110622.80,0.002
2025-05-23 15:49:05,110622.70,0.204
2025-05-23 15:49:08,110622.80,0.001
2025-05-23 15:49:10,110615.90,0.010
2025-05-23 15:49:12,110615.90,0.169
2025-05-23 15:49:14,110615.90,0.003
2025-05-23 15:49:17,110615.80,0.001
2025-05-23 15:49:19,110615.70,0.002
2025-05-23 15:49:21,110615.60,0.014
2025-05-23 15:49:23,110612.10,0.001
2025-05-23 15:49:26,110612.10,0.002
2025-05-23 15:49:28,110612.00,0.001
2025-05-23 15:49:30,110612.10,0.002
2025-05-23 15:49:32,110612.10,0.512
2025-05-23 15:49:35,110612.10,0.003
2025-05-23 15:49:37,110612.10,0.007
2025-05-23 15:49:39,110612.10,0.031
2025-05-23 15:49:41,110615.70,0.026
2025-05-23 15:49:44,110616.00,0.035
2025-05-23 15:49:46,110622.50,0.001
2025-05-23 15:49:48,110622.90,0.002
2025-05-23 15:49:50,110626.30,0.001
2025-05-23 15:49:53,110626.30,0.002
2025-05-23 15:49:55,110624.70,0.001
2025-05-23 15:49:57,110618.50,0.002
2025-05-23 15:49:59,110618.40,0.018
2025-05-23 15:50:02,110618.50,0.009
2025-05-23 15:50:04,110619.00,0.036
2025-05-23 15:50:06,110616.20,0.004
2025-05-23 20:35:26,108485.90,0.034
2025-05-23 20:35:28,108470.30,0.016
2025-05-23 20:35:30,108458.10,0.188
2025-05-23 20:35:33,108447.90,0.001
2025-05-23 20:35:35,108451.30,0.002
2025-05-23 20:35:37,108457.10,0.001
2025-05-23 20:35:40,108480.20,0.007
2025-05-23 20:35:42,108487.50,0.001
2025-05-23 20:35:44,108479.10,0.001
2025-05-23 20:35:47,108452.30,0.699
2025-05-23 20:35:49,108434.50,0.037
2025-05-23 20:35:51,108448.70,0.166
2025-05-23 20:35:54,108442.20,0.002
2025-05-23 20:35:56,108452.00,0.003
2025-05-23 20:35:58,108448.60,0.005
2025-05-23 20:36:01,108443.30,0.002
2025-05-23 20:36:03,108472.30,0.001
2025-05-23 20:36:05,108443.60,0.003
2025-05-23 20:36:08,108450.80,0.001
2025-05-23 20:36:10,108460.50,0.001
2025-05-23 20:36:13,108496.40,0.011
2025-05-23 20:36:16,108491.60,0.005
2025-05-23 20:36:19,108499.60,0.002
2025-05-23 20:36:21,108558.20,0.001
2025-05-23 20:36:23,108568.80,0.023
2025-05-23 20:36:25,108604.30,0.002
2025-05-23 20:36:28,108615.00,0.002
2025-05-23 20:36:30,108587.20,0.002
2025-05-23 20:36:33,108526.10,0.002
2025-05-23 20:36:35,108509.50,0.184
2025-05-23 20:36:38,108513.70,0.002
2025-05-23 20:36:40,108558.70,0.001
2025-05-23 20:36:42,108543.20,0.148
2025-05-23 20:36:45,108521.30,0.010
2025-05-23 20:36:47,108562.90,0.001
2025-05-23 20:36:49,108566.90,0.031
2025-05-23 20:36:51,108599.40,0.003
2025-05-23 20:36:54,108640.90,0.002
2025-05-23 20:36:56,108663.60,0.165
2025-05-23 20:36:58,108652.80,0.330
2025-05-23 20:37:01,108634.50,0.002
2025-05-23 20:37:03,108598.70,0.001
2025-05-23 20:37:05,108559.50,0.003
2025-05-23 20:37:08,108555.90,0.001
2025-05-23 20:37:10,108575.70,0.001
2025-05-23 20:37:12,108575.70,0.005
2025-05-23 20:37:15,108595.60,0.001
2025-05-23 20:37:17,108601.30,1.200
2025-05-23 20:37:19,108560.10,0.001
2025-05-23 20:37:22,108566.40,0.006
2025-05-23 20:37:24,108593.20,0.003
2025-05-23 20:37:26,108608.90,0.002
2025-05-23 20:37:29,108600.80,0.009
2025-05-23 20:37:31,108575.30,0.002
2025-05-23 20:37:33,108587.80,0.002
2025-05-23 20:37:36,108590.30,0.002
2025-05-23 20:37:38,108574.40,0.027
2025-05-23 20:37:40,108562.30,0.001
2025-05-23 20:37:43,108568.70,0.002
2025-05-23 20:37:45,108574.20,0.152
2025-05-23 20:37:47,108572.80,0.001
2025-05-23 20:37:50,108562.40,0.001
2025-05-23 20:37:52,108567.60,0.001
2025-05-23 20:37:54,108563.00,0.005
2025-05-23 20:37:56,108557.80,0.002
2025-05-23 20:37:59,108559.20,0.001
2025-05-23 20:38:01,108562.90,0.051
2025-05-23 20:38:03,108563.20,0.001
2025-05-23 20:38:06,108581.40,0.001
2025-05-23 20:38:08,108590.00,0.001
2025-05-23 20:38:10,108597.20,0.002
2025-05-23 20:38:13,108624.10,0.017
2025-05-23 20:38:15,108628.70,0.320
2025-05-23 20:38:17,108619.60,0.001
2025-05-23 20:38:20,108647.00,0.103
2025-05-23 20:38:22,108665.00,0.024
2025-05-23 20:38:24,108659.20,0.002
2025-05-23 20:38:27,108642.60,0.001
2025-05-23 20:38:29,108615.90,0.003
2025-05-23 20:38:31,108595.60,0.001
2025-05-23 20:38:34,108651.80,0.080
2025-05-23 20:38:36,108620.00,0.001
2025-05-23 20:38:38,108646.50,0.699
2025-05-23 20:38:41,108649.30,0.440
2025-05-23 20:38:43,108685.70,0.001
2025-05-23 20:38:45,108698.90,0.200
2025-05-23 20:38:47,108694.60,0.049
2025-05-23 20:38:50,108674.10,0.287
2025-05-23 20:38:52,108665.40,0.001
2025-05-23 20:38:54,108665.80,0.402
2025-05-23 20:38:57,108700.10,0.028
2025-05-23 20:38:59,108731.90,0.001
2025-05-23 20:39:01,108718.10,0.001
2025-05-23 20:39:04,108704.80,0.001
2025-05-23 20:39:06,108682.00,0.016
2025-05-23 20:39:08,108672.40,0.002
2025-05-23 20:39:11,108651.40,0.044
2025-05-23 20:39:13,108652.10,0.181
2025-05-23 20:39:15,108652.20,0.002
2025-05-23 20:39:17,108660.30,0.001
2025-05-23 20:39:20,108649.90,0.001
2025-05-23 20:39:22,108638.50,0.001
2025-05-23 20:39:24,108601.80,0.005
2025-05-23 20:39:27,108611.10,0.002
2025-05-23 20:39:29,108638.70,0.001
2025-05-23 20:39:31,108645.30,0.001
2025-05-23 20:39:34,108649.90,0.009
2025-05-23 20:39:36,108623.00,0.001
2025-05-23 20:39:38,108648.20,0.090
2025-05-23 20:39:41,108614.80,0.003
2025-05-23 20:39:43,108603.80,0.005
2025-05-23 20:39:45,108587.50,0.005
2025-05-23 20:39:48,108587.70,0.287
2025-05-23 20:39:50,108617.30,0.001
2025-05-23 20:39:52,108615.50,0.001
2025-05-23 20:39:55,108636.40,0.001
2025-05-23 20:39:57,108653.50,0.017
2025-05-23 20:39:59,108639.30,0.001
2025-05-23 20:40:02,108621.30,0.002
2025-05-23 20:40:04,108621.30,0.002
2025-05-23 20:40:06,108599.50,0.255
2025-05-23 20:40:09,108565.50,0.002
2025-05-23 20:40:11,108535.00,0.002
2025-05-23 20:40:13,108510.10,0.002
2025-05-23 20:40:16,108521.50,0.117
2025-05-23 20:40:18,108512.00,0.001
2025-05-23 20:40:20,108501.10,0.010
2025-05-23 20:40:23,108499.70,0.015
2025-05-23 20:40:25,108480.70,0.001
2025-05-23 20:40:27,108473.50,0.002
2025-05-23 20:40:30,108482.40,0.001
2025-05-23 20:40:32,108464.10,0.001
2025-05-23 20:40:34,108473.80,0.345
2025-05-23 20:40:37,108477.40,0.009
2025-05-23 20:40:39,108483.00,0.001
2025-05-23 20:40:41,108479.30,0.020
2025-05-23 20:40:44,108473.90,0.443
2025-05-23 20:40:46,108450.00,0.004
2025-05-23 20:40:48,108493.40,0.287
2025-05-23 20:40:51,108510.60,0.011
2025-05-23 20:40:53,108539.50,0.102
2025-05-23 20:40:55,108543.00,0.017
2025-05-23 20:40:58,108535.10,0.148
2025-05-23 20:41:00,108527.50,0.001
2025-05-23 20:41:02,108525.00,0.009
2025-05-23 20:41:05,108522.80,0.042
2025-05-23 20:41:07,108534.20,0.001
2025-05-23 20:41:09,108560.00,0.001
2025-05-23 20:41:12,108542.50,0.001
2025-05-23 20:41:14,108563.50,0.001
2025-05-23 20:41:16,108587.10,0.080
2025-05-23 20:41:19,108596.30,0.002
2025-05-23 20:41:21,108588.10,0.001
2025-05-23 20:41:23,108604.30,0.001
2025-05-23 20:41:26,108601.30,0.063
2025-05-23 20:41:28,108605.40,0.019
2025-05-23 20:41:30,108596.30,0.003
2025-05-23 20:41:33,108583.50,0.008
2025-05-23 20:41:35,108562.70,0.001
2025-05-23 20:41:37,108554.70,0.006
2025-05-23 20:41:40,108552.90,0.001
2025-05-23 20:41:42,108557.00,0.001
2025-05-23 20:41:44,108562.00,0.001
2025-05-23 20:41:47,108546.10,0.008
2025-05-23 20:41:49,108523.70,0.001
2025-05-23 20:41:51,108570.00,0.001
2025-05-23 20:41:54,108540.00,0.280
2025-05-23 20:41:56,108547.40,0.002
2025-05-23 20:41:58,108525.40,0.003
2025-05-23 20:42:01,108540.70,0.023
2025-05-23 20:42:03,108536.40,0.001
2025-05-23 20:42:05,108520.70,0.005
2025-05-23 20:42:08,108483.40,0.002
2025-05-23 20:42:10,108449.50,0.063
2025-05-23 20:42:12,108460.00,0.001
2025-05-23 20:42:15,108472.60,0.198
2025-05-23 20:42:17,108454.90,0.047
2025-05-23 20:42:19,108449.10,0.001
2025-05-23 20:42:22,108456.70,0.156
2025-05-23 20:42:24,108459.40,0.002
2025-05-23 20:42:26,108468.90,0.278
2025-05-23 20:42:29,108475.20,0.001
2025-05-23 20:42:31,108467.80,0.063
2025-05-23 20:42:33,108467.70,0.009
2025-05-23 20:42:36,108466.80,0.019
2025-05-23 20:42:38,108461.40,0.077
2025-05-23 20:42:40,108460.70,0.001
2025-05-23 20:42:43,108468.10,0.001
2025-05-23 20:42:45,108461.70,0.001
2025-05-23 20:42:47,108453.40,0.014
2025-05-23 20:42:50,108456.30,0.001
2025-05-23 20:42:52,108441.40,0.003
2025-05-23 20:42:54,108441.50,0.087
2025-05-23 20:42:57,108451.90,0.002
2025-05-23 20:42:59,108448.90,0.260
2025-05-23 20:43:01,108471.10,0.008
2025-05-23 20:43:04,108500.00,0.299
2025-05-23 20:43:06,108481.70,0.001
2025-05-23 20:43:08,108479.30,0.122
2025-05-23 20:43:11,108530.70,0.089
2025-05-23 20:43:13,108535.50,0.147
2025-05-23 20:43:15,108546.50,0.001
2025-05-23 20:43:18,108523.50,0.001
2025-05-23 20:43:20,108531.30,0.001
2025-05-23 20:43:22,108520.10,0.010
2025-05-23 20:43:25,108492.50,0.001
2025-05-23 20:43:27,108509.40,0.001
2025-05-23 20:43:29,108512.40,0.046
2025-05-23 20:43:32,108477.90,0.001
2025-05-23 20:43:34,108475.00,0.005
2025-05-23 20:43:36,108465.50,0.002
2025-05-23 20:43:39,108470.70,0.046
2025-05-23 20:43:41,108471.30,0.199
2025-05-23 20:43:43,108486.10,0.025
2025-05-23 20:43:46,108501.90,0.001
2025-05-23 20:43:48,108488.30,0.288
2025-05-23 20:43:50,108488.20,0.025
2025-05-23 20:43:53,108485.00,0.002
2025-05-23 20:43:55,108477.50,0.002
2025-05-23 20:43:57,108500.00,0.002
2025-05-23 20:43:59,108500.20,0.005
2025-05-23 20:44:02,108512.30,0.001
2025-05-23 20:44:04,108543.10,0.028
2025-05-23 20:44:06,108540.00,0.001
2025-05-23 20:44:09,108523.90,0.002
2025-05-23 20:44:11,108513.90,0.001
2025-05-23 20:44:13,108505.80,0.001
2025-05-23 20:44:16,108512.70,0.010
2025-05-23 20:44:18,108523.10,0.001
2025-05-23 20:44:20,108555.10,0.002
2025-05-23 20:44:23,108558.60,0.037
2025-05-23 20:44:25,108571.20,0.037
2025-05-23 20:44:27,108550.60,0.002
2025-05-23 20:44:30,108555.10,0.002
2025-05-23 20:44:32,108562.20,0.001
